record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,registro_de_uso_timestamp,wearlog_type_v2,wearlog_event_v2,wearlog_off_v2,reason_v2,wearlog_on_v2,wearlog_bed_v2,radius_v2,wearlog_bag_v2,wearlog_place_v2,wearlog_motion_v2,wearlog_past_v2,wearlog_bp_v2,wearlog_past_off_v2,wearlog_past_on_v2,wearlog_past_sleep_v2,radius_past_time_v2,radius_past_v2,radius_past_back_v2,wearlog_past_bag_v2,wearlog_past_location_v2,wearlog_past_motion_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,registro_de_uso_complete
UCRS004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCRS004,registro_de_uso,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
UCRS004,registro_de_uso,2,,,0,5,,,,,,,,,,,,,,,,,,,,AF8784A0-50A7-11F0-BF03-276B64C392EE,"2025-06-23 21:02:38","2025-06-23 21:04:26",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-23 21:04:27"",    ""utcTime"": ""2025-06-24 03:02:38.314750Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""10""  }",result.zip,0
UCRS004,registro_de_uso,3,,,0,2,,,,"2025-06-23 23:35",,,,,,,,,,,,,,,,9FF749B0-50BD-11F0-931C-7D7D7F77EBC3,"2025-06-23 23:39:41","2025-06-23 23:40:20",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-23 23:40:21"",    ""utcTime"": ""2025-06-24 05:39:41.130530Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,4,,,0,0,"2025-06-24 05:40",2,,,,1,,0,,,,,,,,,,,,F2ABDA40-50EF-11F0-931C-7D7D7F77EBC3,"2025-06-24 05:39:54","2025-06-24 05:40:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-24 05:40:59"",    ""utcTime"": ""2025-06-24 11:39:54.724404Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,5,,,0,0,"2025-06-24 17:08",4,,,,1,,1,,,,,,,,,,,,3DF957B0-5150-11F0-931C-7D7D7F77EBC3,"2025-06-24 17:09:12","2025-06-24 17:11:17",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-24 17:11:18"",    ""utcTime"": ""2025-06-24 23:09:12.746757Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,6,,,0,1,,,"2025-06-24 17:55",,,,,,,,,,,,,,,,,939E5570-5156-11F0-931C-7D7D7F77EBC3,"2025-06-24 17:54:33","2025-06-24 17:55:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-24 17:55:14"",    ""utcTime"": ""2025-06-24 23:54:33.415537Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,7,,,0,2,,,,"2025-06-24 23:18",,,,,,,,,,,,,,,,BC2C9790-5183-11F0-931C-7D7D7F77EBC3,"2025-06-24 23:17:48","2025-06-24 23:18:07",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-24 23:18:07"",    ""utcTime"": ""2025-06-25 05:17:48.809834Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,8,,,0,0,"2025-06-25 05:38",2,,,,1,,0,,,,,,,,,,,,E934A860-51B8-11F0-88A3-135C8547DEFC,"2025-06-25 05:38:27","2025-06-25 05:39:39",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 05:39:39"",    ""utcTime"": ""2025-06-25 11:38:27.686579Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,9,,,0,1,,,"2025-06-25 06:14",,,,,,,,,,,,,,,,,585B7430-51BE-11F0-88A3-135C8547DEFC,"2025-06-25 06:17:21","2025-06-25 06:17:37",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 06:17:38"",    ""utcTime"": ""2025-06-25 12:17:21.650167Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
