record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,registro_de_uso_timestamp,wearlog_type_v2,wearlog_event_v2,wearlog_off_v2,reason_v2,wearlog_on_v2,wearlog_bed_v2,radius_v2,wearlog_bag_v2,wearlog_place_v2,wearlog_motion_v2,wearlog_past_v2,wearlog_bp_v2,wearlog_past_off_v2,wearlog_past_on_v2,wearlog_past_sleep_v2,radius_past_time_v2,radius_past_v2,radius_past_back_v2,wearlog_past_bag_v2,wearlog_past_location_v2,wearlog_past_motion_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,registro_de_uso_complete
UCRS005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCRS005,registro_de_uso,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
UCRS005,registro_de_uso,2,,,0,5,,,,,,,,,,,,,,,,,,,,EBA08780-5074-11F0-A66B-A53AA61A0FCF,"2025-06-23 14:59:14","2025-06-23 14:59:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-23 14:59:42"",    ""utcTime"": ""2025-06-23 20:59:14.808676Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""10""  }",result.zip,0
UCRS005,registro_de_uso,3,,,0,0,"2025-06-23 16:31",2,,,,1,,0,,,,,,,,,,,,DB6CCFB0-5081-11F0-9754-C3504173708F,"2025-06-23 16:31:51","2025-06-23 16:32:36",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-23 16:32:36"",    ""utcTime"": ""2025-06-23 22:31:51.083569Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,4,,,0,1,,,"2025-06-23 16:56",,,,,,,,,,,,,,,,,37CE3A20-5085-11F0-AFAF-7B0C058BFB74,"2025-06-23 16:55:54","2025-06-23 16:56:38",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-23 16:56:39"",    ""utcTime"": ""2025-06-23 22:55:54.562721Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,5,,,0,2,,,,"2025-06-23 23:28",,,,,,,,,,,,,,,,F0400800-50BB-11F0-9F78-8367E69E2150,"2025-06-23 23:27:36","2025-06-23 23:28:38",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-23 23:28:39"",    ""utcTime"": ""2025-06-24 05:27:36.832018Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,6,,,0,1,,,"2025-06-24 07:53",,,,,,,,,,,,,,,,,9AE70060-5102-11F0-AFF0-AB3A77E8D5D8,"2025-06-24 07:53:27","2025-06-24 07:54:02",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-24 07:54:03"",    ""utcTime"": ""2025-06-24 13:53:27.910659Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,7,,,0,0,"2025-06-24 08:49",2,,,,1,,0,,,,,,,,,,,,6BAC6B70-510A-11F0-B421-F93D1E41F287,"2025-06-24 08:49:24","2025-06-24 08:50:52",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-24 08:50:53"",    ""utcTime"": ""2025-06-24 14:49:24.647630Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,8,,,0,1,,,"2025-06-24 09:20",,,,,,,,,,,,,,,,,B7DB4D00-510E-11F0-B421-F93D1E41F287,"2025-06-24 09:20:10","2025-06-24 09:20:35",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-24 09:20:35"",    ""utcTime"": ""2025-06-24 15:20:10.448540Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,9,,,0,2,"2025-06-25 01:14",4,,"2025-06-25 01:15",,0,"A la par de mi cama",0,,,,,,,,,,,,FD81F400-5193-11F0-AF38-813484E3C140,"2025-06-25 01:14:10","2025-06-25 01:16:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-25 01:16:13"",    ""utcTime"": ""2025-06-25 07:14:10.368143Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""39""  }",result.zip,0
