record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS007,wear_log,1,,,0,5,,,,,,,,,,,,,,,,,,,,6337D530-55F4-11F0-8B51-D726BA0E49A1,""2025-06-30 14:54:17"",""2025-06-30 14:54:51"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-06-30 14:54:52"""",    """"utcTime"""": """"2025-06-30 20:54:17.347362Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"10""""  }"",result.zip,0"
"UCRS007,wear_log,2,,,0,1,,,""2025-07-01 07:55"",,,,,,,,,,,,,,,,,90568860-5683-11F0-BB6C-313E064C834B,""2025-07-01 07:59:11"",""2025-07-01 08:00:41"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-01 08:00:41"""",    """"utcTime"""": """"2025-07-01 13:59:11.078191Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,3,,,1,,,,,,,,,,2,0,,,""2025-06-30 23:00"",,,,,,,32082490-568C-11F0-A009-7B68EDC63C71,""2025-07-01 09:00:58"",""2025-07-01 09:01:40"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-01 09:01:41"""",    """"utcTime"""": """"2025-07-01 15:00:58.329852Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"20""""  }"",result.zip,0"
"UCRS007,wear_log,4,,,0,0,""2025-07-01 11:17"",2,,,,0,""en el cuarto "",1,,,,,,,,,,,,413A3D50-569F-11F0-9638-8FE1492A185F,""2025-07-01 11:17:24"",""2025-07-01 11:18:22"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-01 11:18:23"""",    """"utcTime"""": """"2025-07-01 17:17:24.261260Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,5,,,0,1,,,""2025-07-01 11:49"",,,,,,,,,,,,,,,,,B5A0D600-56A3-11F0-A580-39397C76F88B,""2025-07-01 11:49:17"",""2025-07-01 11:49:39"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-01 11:49:40"""",    """"utcTime"""": """"2025-07-01 17:49:17.536442Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,6,,,0,2,,,,""2025-07-01 23:05"",,,,,,,,,,,,,,,,236AAC70-5702-11F0-8208-FF2B31D5FF8C,""2025-07-01 23:05:14"",""2025-07-01 23:05:34"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-01 23:05:34"""",    """"utcTime"""": """"2025-07-02 05:05:14.423568Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,7,,,0,1,,,""2025-07-02 10:20"",,,,,,,,,,,,,,,,,C70006B0-5760-11F0-AFA9-E14091466A7F,""2025-07-02 10:22:41"",""2025-07-02 10:23:03"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-02 10:23:03"""",    """"utcTime"""": """"2025-07-02 16:22:41.562973Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,8,,,0,2,,,,""2025-07-02 23:54"",,,,,,,,,,,,,,,,26B8F690-57D2-11F0-86E9-CFFAF1C2CCE1,""2025-07-02 23:54:15"",""2025-07-02 23:54:35"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-02 23:54:35"""",    """"utcTime"""": """"2025-07-03 05:54:15.289507Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,9,,,0,1,,,""2025-07-03 09:10"",,,,,,,,,,,,,,,,,C81E3A20-581F-11F0-895A-816098A9D9C4,""2025-07-03 09:09:57"",""2025-07-03 09:10:12"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-03 09:10:13"""",    """"utcTime"""": """"2025-07-03 15:09:57.314589Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,10,,,0,0,""2025-07-03 17:21"",2,,,,0,""en el cuarto en el mueble del tv"",1,,,,,,,,,,,,7B45EF00-5864-11F0-9AA5-AD7B3A57F647,""2025-07-03 17:21:43"",""2025-07-03 17:22:53"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-03 17:22:54"""",    """"utcTime"""": """"2025-07-03 23:21:43.664677Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,11,,,0,1,,,""2025-07-03 18:28"",,,,,,,,,,,,,,,,,C087CC10-586D-11F0-A871-47C94A60D096,""2025-07-03 18:28:05"",""2025-07-03 18:28:17"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-03 18:28:18"""",    """"utcTime"""": """"2025-07-04 00:28:05.329150Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
