record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS008,wear_log,1,,,0,5,,,,,,,,,,,,,,,,,,,,5901B270-55F4-11F0-8D23-A3F2EC6FF8FB,""2025-06-30 14:54:00"",""2025-06-30 14:55:32"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-06-30 14:55:32"""",    """"utcTime"""": """"2025-06-30 20:54:00.215056Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"10""""  }"",result.zip,0"
"UCRS008,wear_log,2,,,0,0,""2025-06-30 17:00"",0,,,,0,""mochila "",1,,,,,,,,,,,,0716E9A0-5606-11F0-AF72-AD401011E8CD,""2025-06-30 17:00:33"",""2025-06-30 17:01:23"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-06-30 17:01:23"""",    """"utcTime"""": """"2025-06-30 23:00:33.722015Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,3,,,0,1,,,""2025-06-30 18:55"",,,,,,,,,,,,,,,,,00961370-5616-11F0-AF72-AD401011E8CD,""2025-06-30 18:54:54"",""2025-06-30 18:55:15"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-06-30 18:55:16"""",    """"utcTime"""": """"2025-07-01 00:54:54.759677Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,4,,,0,0,""2025-06-30 20:02"",0,,,,0,""mochila "",1,,,,,,,,,,,,60F50290-561F-11F0-AF72-AD401011E8CD,""2025-06-30 20:02:01"",""2025-06-30 20:02:52"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-06-30 20:02:52"""",    """"utcTime"""": """"2025-07-01 02:02:01.913377Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,5,,,0,1,,,""2025-06-30 21:21"",,,,,,,,,,,,,,,,,7102A7E0-562A-11F0-AF72-AD401011E8CD,""2025-06-30 21:21:13"",""2025-06-30 21:21:41"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-06-30 21:21:42"""",    """"utcTime"""": """"2025-07-01 03:21:13.310222Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,6,,,0,2,,,,""2025-07-01 00:24"",,,,,,,,,,,,,,,,FFA77ED0-5643-11F0-A209-9F3B7EFB1456,""2025-07-01 00:24:10"",""2025-07-01 00:24:29"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 00:24:29"""",    """"utcTime"""": """"2025-07-01 06:24:10.045420Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,7,,,0,1,,,""2025-07-01 07:18"",,,,,,,,,,,,,,,,,CE3E8570-567D-11F0-8EEC-2DBAE9262BC4,""2025-07-01 07:17:57"",""2025-07-01 07:18:20"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 07:18:20"""",    """"utcTime"""": """"2025-07-01 13:17:57.959683Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,8,,,0,0,""2025-07-01 07:41"",0,,,,0,""cajón "",1,,,,,,,,,,,,033350F0-5681-11F0-8EEC-2DBAE9262BC4,""2025-07-01 07:40:55"",""2025-07-01 07:41:31"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 07:41:32"""",    """"utcTime"""": """"2025-07-01 13:40:55.295735Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,9,,,0,1,,,""2025-07-01 10:36"",,,,,,,,,,,,,,,,,7826F750-5699-11F0-8EEC-2DBAE9262BC4,""2025-07-01 10:35:59"",""2025-07-01 10:36:14"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 10:36:14"""",    """"utcTime"""": """"2025-07-01 16:35:59.429282Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,10,,,0,0,""2025-07-01 11:31"",2,,,,0,""mesa de noche "",1,,,,,,,,,,,,25684840-56A1-11F0-8EEC-2DBAE9262BC4,""2025-07-01 11:30:56"",""2025-07-01 11:31:37"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 11:31:37"""",    """"utcTime"""": """"2025-07-01 17:30:56.580284Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,11,,,0,1,,,""2025-07-01 12:10"",,,,,,,,,,,,,,,,,97C511C0-56A6-11F0-8EEC-2DBAE9262BC4,""2025-07-01 12:09:55"",""2025-07-01 12:10:14"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 12:10:14"""",    """"utcTime"""": """"2025-07-01 18:09:55.932224Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
