record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS009,wear_log,1,,,0,5,,,,,,,,,,,,,,,,,,,,C6427270-55F4-11F0-812A-893B3D822DDB,""2025-06-30 14:57:03"",""2025-06-30 14:57:59"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-06-30 14:57:59"""",    """"utcTime"""": """"2025-06-30 20:57:03.511769Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"10""""  }"",result.zip,0"
"UCRS009,wear_log,2,,,0,2,,,,""2025-06-30 23:53"",,,,,,,,,,,,,,,,9E601230-563F-11F0-97CA-3319766CA02F,""2025-06-30 23:52:48"",""2025-06-30 23:54:02"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-06-30 23:54:02"""",    """"utcTime"""": """"2025-07-01 05:52:48.851447Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,3,,,0,1,,,""2025-07-01 07:35"",,,,,,,,,,,,,,,,,2373D8D0-5681-11F0-A549-A9E4FD89F9AC,""2025-07-01 07:41:49"",""2025-07-01 07:42:37"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-01 07:42:38"""",    """"utcTime"""": """"2025-07-01 13:41:49.405245Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,4,,,0,2,,,,""2025-07-01 22:57"",,,,,,,,,,,,,,,,1249DDE0-5701-11F0-A5F0-9D72C0D3F583,""2025-07-01 22:57:36"",""2025-07-01 22:58:00"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-01 22:58:01"""",    """"utcTime"""": """"2025-07-02 04:57:36.190524Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,5,,,0,1,,,""2025-07-02 06:06"",,,,,,,,,,,,,,,,,F386AFF0-573C-11F0-A5F0-9D72C0D3F583,""2025-07-02 06:06:14"",""2025-07-02 06:06:39"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-02 06:06:40"""",    """"utcTime"""": """"2025-07-02 12:06:14.383638Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,6,,,0,2,,,,""2025-07-03 01:23"",,,,,,,,,,,,,,,,A4A8AF80-57DE-11F0-A8E4-85626F2A26FA,""2025-07-03 01:23:40"",""2025-07-03 01:23:54"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-03 01:23:55"""",    """"utcTime"""": """"2025-07-03 07:23:40.536670Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,7,,,0,1,,,""2025-07-03 07:20"",,,,,,,,,,,,,,,,,10D6B440-5811-11F0-87C1-DB5BDD15218C,""2025-07-03 07:24:36"",""2025-07-03 07:24:53"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-03 07:24:53"""",    """"utcTime"""": """"2025-07-03 13:24:36.868371Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,8,,,0,2,,,,""2025-07-04 01:46"",,,,,,,,,,,,,,,,04700EF0-58AB-11F0-BDD9-D1EE1052A67D,""2025-07-04 01:46:38"",""2025-07-04 01:46:58"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-04 01:46:58"""",    """"utcTime"""": """"2025-07-04 07:46:38.559856Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,9,,,0,1,,,""2025-07-04 08:09"",,,,,,,,,,,,,,,,,725D4880-58E0-11F0-BDD9-D1EE1052A67D,""2025-07-04 08:09:06"",""2025-07-04 08:09:21"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-04 08:09:22"""",    """"utcTime"""": """"2025-07-04 14:09:06.312421Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS009,wear_log,10,,,1,,,,,,,,,,2,0,,,""2025-07-05 01:00"",,,,,,,AA07BBB0-5973-11F0-89F7-A91B326B3F4B,""2025-07-05 01:42:55"",""2025-07-05 01:43:20"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-05 01:43:20"""",    """"utcTime"""": """"2025-07-05 07:42:55.723749Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"20""""  }"",result.zip,0"
"UCRS009,wear_log,11,,,0,1,,,""2025-07-05 09:28"",,,,,,,,,,,,,,,,,A6EDC0F0-59B4-11F0-89F7-A91B326B3F4B,""2025-07-05 09:28:07"",""2025-07-05 09:28:21"",,1,""{    """"devicemanufacturer"""": """"HONOR"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"14"""",    """"syncdate"""": """"2025-07-05 09:28:21"""",    """"utcTime"""": """"2025-07-05 15:28:07.807069Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"FNE-NX9"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
