record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
UCRS011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCRS011,wear_log,1,,,1,,,,,,,,,,5,,,,,,,,,,,C34F9F60-5B72-11F0-A78D-013A8E7E0E57,"2025-07-07 14:41:30","2025-07-07 14:42:05",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-07 14:42:06"",    ""utcTime"": ""2025-07-07 20:41:30.966553Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""10""  }",result.zip,0
UCRS011,wear_log,2,,,1,,,,,,,,,,0,0,"2025-07-07 17:50",,,,,,0,"en un locker cerrado",1,DD4A54E0-5B9B-11F0-8821-4508D525F29A,"2025-07-07 19:35:43","2025-07-07 19:38:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-07 19:38:02"",    ""utcTime"": ""2025-07-08 01:35:43.918851Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,3,,,0,1,,,"2025-07-07 19:38",,,,,,,,,,,,,,,,,3187BB10-5B9C-11F0-8821-4508D525F29A,"2025-07-07 19:38:05","2025-07-07 19:38:34",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-07 19:38:35"",    ""utcTime"": ""2025-07-08 01:38:05.249286Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,4,,,0,2,,,,"2025-07-07 22:58",,,,,,,,,,,,,,,,26AB8390-5BB8-11F0-B5D3-3FF5F821375F,"2025-07-07 22:58:12","2025-07-07 22:58:43",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-07 22:58:44"",    ""utcTime"": ""2025-07-08 04:58:12.937040Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,5,,,1,,,,,,,,,,0,0,"2025-07-08 12:30",,,,,,0,"sobre la comoda del cuarto",1,E730BCA0-5C2D-11F0-9C7D-37AC254156E2,"2025-07-08 13:01:07","2025-07-08 13:01:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-08 13:01:59"",    ""utcTime"": ""2025-07-08 19:01:07.050399Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,6,,,0,1,,,"2025-07-08 13:04",,,,,,,,,,,,,,,,,4EC17E40-5C2E-11F0-9C7D-37AC254156E2,"2025-07-08 13:04:00","2025-07-08 13:04:16",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-08 13:04:16"",    ""utcTime"": ""2025-07-08 19:04:00.804272Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,7,,,1,,,,,,,,,,0,0,"2025-07-08 14:30",,,,,,1,,1,CB845AB0-5C60-11F0-98C1-334057BE51D8,"2025-07-08 19:05:24","2025-07-08 19:06:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-08 19:06:14"",    ""utcTime"": ""2025-07-09 01:05:24.954975Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,8,,,1,,,,,,,,,,1,0,,"2025-07-08 16:00",,,,,,,,EA517C70-5C60-11F0-98C1-334057BE51D8,"2025-07-08 19:06:16","2025-07-08 19:07:03",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-08 19:07:03"",    ""utcTime"": ""2025-07-09 01:06:16.631838Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS011,wear_log,9,,,0,0,"2025-07-08 22:38",4,,,,1,,1,,,,,,,,,,,,8615DDA0-5C7E-11F0-8F6A-452DBA1594C7,"2025-07-08 22:38:13","2025-07-08 22:39:05",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-08 22:39:05"",    ""utcTime"": ""2025-07-09 04:38:13.370082Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
