record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
UCRS032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCRS032,wear_log,1,,,0,5,,,,,,,,,,,,,,,,,,,,C0E78510-7C58-11F0-A713-CB516DC681EE,"2025-08-18 11:28:28","2025-08-18 11:28:55",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-18 11:28:56"",    ""utcTime"": ""2025-08-18 17:28:28.384189Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""10""  }",result.zip,0
UCRS032,wear_log,2,,,0,2,,,,"2025-08-18 22:13",,,,,,,,,,,,,,,,39284A10-7CB2-11F0-A2F3-7D6F8193C0ED,"2025-08-18 22:08:55","2025-08-18 22:13:37",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-18 22:13:38"",    ""utcTime"": ""2025-08-19 04:08:55.345889Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,3,,,0,1,,,"2025-08-19 05:33",,,,,,,,,,,,,,,,,E7CE0800-7CF0-11F0-8290-2548FF06AF79,"2025-08-19 05:37:37","2025-08-19 05:38:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-19 05:38:18"",    ""utcTime"": ""2025-08-19 11:37:37.151543Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,4,,,0,0,"2025-08-19 08:56",2,,,,0,"En un estuche de lentes.",1,,,,,,,,,,,,C913E850-7D0C-11F0-8290-2548FF06AF79,"2025-08-19 08:57:11","2025-08-19 08:58:23",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-19 09:21:54.172241"",    ""utcTime"": ""2025-08-19 14:57:11.509844Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,5,,,0,1,,,"2025-08-19 09:22",,,,,,,,,,,,,,,,,433BD9F0-7D10-11F0-8290-2548FF06AF79,"2025-08-19 09:22:04","2025-08-19 09:22:19",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-19 09:22:20"",    ""utcTime"": ""2025-08-19 15:22:04.943824Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,6,,,0,2,,,,"2025-08-19 22:11",,,,,,,,,,,,,,,,AB5996B0-7D7B-11F0-BCA4-9DA272556D7E,"2025-08-19 22:10:55","2025-08-19 22:11:19",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-19 22:11:20"",    ""utcTime"": ""2025-08-20 04:10:55.770981Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,7,,,0,1,,,"2025-08-20 05:38",,,,,,,,,,,,,,,,,39592D20-7DBA-11F0-83DE-E1D8161955BF,"2025-08-20 05:38:42","2025-08-20 05:39:03",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 05:39:04"",    ""utcTime"": ""2025-08-20 11:38:42.801452Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,8,,,0,0,"2025-08-20 08:11",0,,,,0,"En una gaveta.",1,,,,,,,,,,,,74352E70-7DCF-11F0-8571-A31B03553FA9,"2025-08-20 08:10:40","2025-08-20 08:11:54",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 08:11:54"",    ""utcTime"": ""2025-08-20 14:10:40.981881Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,9,,,0,1,,,"2025-08-20 10:00",,,,,,,,,,,,,,,,,C09B4BA0-7DDE-11F0-A7DF-0DCF2E2CA996,"2025-08-20 10:00:11","2025-08-20 10:00:34",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 10:00:34"",    ""utcTime"": ""2025-08-20 16:00:11.609478Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,10,,,0,0,"2025-08-20 12:44",2,,,,0,"En una gaveta.",1,,,,,,,,,,,,AD4C3E80-7DF5-11F0-A884-338E2E99AC05,"2025-08-20 12:44:17","2025-08-20 12:45:33",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 12:45:33"",    ""utcTime"": ""2025-08-20 18:44:17.640091Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,11,,,0,1,,,"2025-08-20 13:16",,,,,,,,,,,,,,,,,38533AC0-7DFA-11F0-A884-338E2E99AC05,"2025-08-20 13:16:48","2025-08-20 13:17:00",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 13:17:00"",    ""utcTime"": ""2025-08-20 19:16:48.876335Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,12,,,0,2,,,,"2025-08-20 23:00",,,,,,,,,,,,,,,,AD82C1C0-7E4B-11F0-ACB8-DD0C13285429,"2025-08-20 22:59:54","2025-08-20 23:00:17",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 23:00:17"",    ""utcTime"": ""2025-08-21 04:59:54.716321Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
